dia;mes;año ;hora costo marginal;
1;1;2015;1;79.48
1;1;2015;2;75.64
1;1;2015;3;79.45
1;1;2015;4;79.97
1;1;2015;5;78.4
1;1;2015;6;80.75
1;1;2015;7;60.84
1;1;2015;8;79.84
1;1;2015;9;77.64
1;1;2015;10;19.88
1;1;2015;11;0
1;1;2015;12;0
1;1;2015;13;0
1;1;2015;14;0
1;1;2015;15;0
1;1;2015;16;0
1;1;2015;17;0
1;1;2015;18;0
1;1;2015;19;0
1;1;2015;20;78.12
1;1;2015;21;81.93
1;1;2015;22;59.73
1;1;2015;23;79.9
1;1;2015;24;0
2;1;2015;1;79.89
2;1;2015;2;79.34
2;1;2015;3;35.79
2;1;2015;4;0
2;1;2015;5;17.75
2;1;2015;6;70.38
2;1;2015;7;57.14
2;1;2015;8;100.91
2;1;2015;9;91.48
2;1;2015;10;174.71
2;1;2015;11;177.98
2;1;2015;12;173.65
2;1;2015;13;173.64
2;1;2015;14;173.68
2;1;2015;15;173.62
2;1;2015;16;166.08
2;1;2015;17;147.13
2;1;2015;18;89.61
2;1;2015;19;101.17
2;1;2015;20;101.17
2;1;2015;21;96.75
2;1;2015;22;84.14
2;1;2015;23;95.72
2;1;2015;24;81.62
3;1;2015;1;85.59
3;1;2015;2;86.77
3;1;2015;3;56.92
3;1;2015;4;76.65
3;1;2015;5;81.22
3;1;2015;6;82.14
3;1;2015;7;77.85
3;1;2015;8;84.01
3;1;2015;9;62.39
3;1;2015;10;100.9
3;1;2015;11;101.18
3;1;2015;12;89.83
3;1;2015;13;100.9
3;1;2015;14;83.97
3;1;2015;15;100.9
3;1;2015;16;84.57
3;1;2015;17;100.9
3;1;2015;18;69.41
3;1;2015;19;70.06
3;1;2015;20;100.9
3;1;2015;21;79
3;1;2015;22;80.51
3;1;2015;23;82.18
3;1;2015;24;82.47
4;1;2015;1;82.05
4;1;2015;2;79.93
4;1;2015;3;76.91
4;1;2015;4;80.76
4;1;2015;5;80.21
4;1;2015;6;76.91
4;1;2015;7;78.93
4;1;2015;8;78.5
4;1;2015;9;82.07
4;1;2015;10;83.88
4;1;2015;11;98.16
4;1;2015;12;86.49
4;1;2015;13;92.37
4;1;2015;14;87.7
4;1;2015;15;86.88
4;1;2015;16;81.91
4;1;2015;17;86.6
4;1;2015;18;86.43
4;1;2015;19;82.7
4;1;2015;20;93.34
4;1;2015;21;84.21
4;1;2015;22;82.83
4;1;2015;23;85.63
4;1;2015;24;86.32
5;1;2015;1;81.42
5;1;2015;2;82.21
5;1;2015;3;79.17
5;1;2015;4;78.89
5;1;2015;5;79.89
5;1;2015;6;82.14
5;1;2015;7;82.36
5;1;2015;8;85.44
5;1;2015;9;101.17
5;1;2015;10;175.43
5;1;2015;11;161
5;1;2015;12;166.2
5;1;2015;13;169.47
5;1;2015;14;161.01
5;1;2015;15;169.47
5;1;2015;16;169.47
5;1;2015;17;161.01
5;1;2015;18;161
5;1;2015;19;161.02
5;1;2015;20;160.94
5;1;2015;21;160.9
5;1;2015;22;96.29
5;1;2015;23;87.46
5;1;2015;24;90.89
6;1;2015;1;82.01
6;1;2015;2;83.92
6;1;2015;3;78.78
6;1;2015;4;79.91
6;1;2015;5;78.12
6;1;2015;6;77.96
6;1;2015;7;81.48
6;1;2015;8;98.03
6;1;2015;9;99.49
6;1;2015;10;161.02
6;1;2015;11;161.02
6;1;2015;12;169.76
6;1;2015;13;161
6;1;2015;14;167
6;1;2015;15;215.04
6;1;2015;16;165.67
6;1;2015;17;161
6;1;2015;18;95.2
6;1;2015;19;97.72
6;1;2015;20;85.88
6;1;2015;21;88.94
6;1;2015;22;82.21
6;1;2015;23;78.63
6;1;2015;24;74.12
7;1;2015;1;35.37
7;1;2015;2;0
7;1;2015;3;0
7;1;2015;4;17.82
7;1;2015;5;17.75
7;1;2015;6;0
7;1;2015;7;0
7;1;2015;8;81.77
7;1;2015;9;87.63
7;1;2015;10;101.17
7;1;2015;11;101.17
7;1;2015;12;101.17
7;1;2015;13;100.9
7;1;2015;14;100.9
7;1;2015;15;101.17
7;1;2015;16;100.9
7;1;2015;17;86.74
7;1;2015;18;81.5
7;1;2015;19;81.77
7;1;2015;20;79.51
7;1;2015;21;79.86
7;1;2015;22;81.96
7;1;2015;23;80.88
7;1;2015;24;40.89
8;1;2015;1;0
8;1;2015;2;0
8;1;2015;3;0
8;1;2015;4;0
8;1;2015;5;0
8;1;2015;6;0
8;1;2015;7;0
8;1;2015;8;59.18
8;1;2015;9;100.9
8;1;2015;10;100.9
8;1;2015;11;101.17
8;1;2015;12;160.91
8;1;2015;13;100.9
8;1;2015;14;101.17
8;1;2015;15;101.17
8;1;2015;16;89.11
8;1;2015;17;83.84
8;1;2015;18;100.9
8;1;2015;19;100.9
8;1;2015;20;79.92
8;1;2015;21;80.05
8;1;2015;22;81.28
8;1;2015;23;18.64
8;1;2015;24;0
9;1;2015;1;0
9;1;2015;2;0
9;1;2015;3;0
9;1;2015;4;0
9;1;2015;5;0
9;1;2015;6;0
9;1;2015;7;0
9;1;2015;8;0
9;1;2015;9;0
9;1;2015;10;18.04
9;1;2015;11;58.23
9;1;2015;12;34.91
9;1;2015;13;76.32
9;1;2015;14;54.81
9;1;2015;15;56.61
9;1;2015;16;18.41
9;1;2015;17;0
9;1;2015;18;0
9;1;2015;19;18.37
9;1;2015;20;71.54
9;1;2015;21;70.99
9;1;2015;22;34.91
9;1;2015;23;0
9;1;2015;24;0
10;1;2015;1;0
10;1;2015;2;0
10;1;2015;3;0
10;1;2015;4;0
10;1;2015;5;0
10;1;2015;6;0
10;1;2015;7;0
10;1;2015;8;0
10;1;2015;9;18.7
10;1;2015;10;76.77
10;1;2015;11;75.51
